scene,id,title,artist,videoId,focus,length,license
B7_blues,b7_blues-_45nln96x_s,Brookers Blues,Audionautix / Jason Shaw,_45nLn96x_s,3,96,CC BY 4.0
B7_blues,b7_blues-gqkq_q_hqri,RPG BLues,Eric Matyas (Soundimage.org),gQKQ_q_hQrI,3,90,Free with attribution
B8_ballad,b8_ballad-kjkhxnci548,'s - A Lullaby for James -- A Sleepy Song -- PCH Drive,TeknoAXE,KJkHxnci548,5,214,CC BY 4.0
B8_ballad,b8_ballad-6ydch18nsng,3 minutes DTM : Electric piano slow jazz - DTM,MusMus,6ydCH18Nsng,5,174,Free with attribution (musmus.main.jp)
B8_ballad,b8_ballad-z6j690yzffy,Smooth Lovin,Kevin MacLeod,z6j690YzFFY,5,180,CC BY 4.0
B9_smooth,b9_smooth-5fe7qh3kbga,'s - Royalty Free Song (The Crazyhorse) Zen Song (Circa 2005),TeknoAXE,5fE7QH3kbGA,5,273,CC BY 4.0
B9_smooth,b9_smooth-4-xh-xbyfym,11th finger,MusMus,4-XH-XBYfyM,5,239,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-04wln7ajk7s,64 Sundays,Twin Musicom,04WlN7aJK7s,5,142,CC BY 4.0
B9_smooth,b9_smooth--lw6nqtxe10,"Alpha Hydrae- Keratine, rust and clear soul",Loyalty Freak Music / Komiku,-LW6nQtXe10,5,304,CC0
B9_smooth,b9_smooth-wj_fj8g_pz0,Chillin' with My Puzzles,Eric Matyas (Soundimage.org),wj_fj8G_PZ0,5,144,Free with attribution
B9_smooth,b9_smooth-kc2do80ljge,City Moon,Eric Matyas (Soundimage.org),Kc2dO80lJgE,5,124,Free with attribution
B9_smooth,b9_smooth-5c1say_pijy,Crushin,Audionautix / Jason Shaw,5c1say_pIjY,5,256,CC BY 4.0
B9_smooth,b9_smooth-m5olymxlfx0,Dream Voyager,Eric Matyas (Soundimage.org),M5olymXlFx0,5,142,Free with attribution
B9_smooth,b9_smooth-auqlm6kx9qq,Ethernight Club,Kevin MacLeod,aUQLM6kX9qQ,5,307,CC BY 4.0
B9_smooth,b9_smooth-f6cccc-xvmy,Gulf Breeze,Eric Matyas (Soundimage.org),F6cccC-xvMY,5,143,Free with attribution
B9_smooth,b9_smooth-ytuk90ip4by,Haunting Dreams,Twin Musicom,Ytuk90IP4BY,5,168,CC BY 4.0
B9_smooth,b9_smooth-r6bdisixori,Kat and Tanner,Twin Musicom,r6BdiSixOrI,5,135,CC BY 4.0
B9_smooth,b9_smooth-qj3slui0v5q,Koichi Morita - Mirage (Sore ha Shinkiro datta),魔王魂 (森田交一),QJ3SluI0V5Q,5,293,Free with attribution (maou.audio terms)
B9_smooth,b9_smooth-4wwypyji-tw,L'orage et l'aventure,Loyalty Freak Music / Komiku,4wwypyji-Tw,5,212,CC0
B9_smooth,b9_smooth-wj0yu9hxkaa,Leopard Print Elevator,Kevin MacLeod,wJ0Yu9hxkaA,5,330,CC BY 4.0
B9_smooth,b9_smooth-vs5seovgwrc,Leopard Print Elevator - .com,Kevin MacLeod,vS5seoVGwrc,5,330,CC BY 4.0
B9_smooth,b9_smooth-owhr4ebsxee,Leopard Print Elevator by,Kevin MacLeod,oWHr4ebSxEE,5,328,CC BY 4.0
B9_smooth,b9_smooth-tpw_g5zb07m,Mall Walker,Audionautix / Jason Shaw,tPw_G5ZB07M,5,273,CC BY 4.0
B9_smooth,b9_smooth-xpjpgnyrcag,Nice Old Tradition,MusMus,xPjpGnYrCAg,5,203,Free with attribution (musmus.main.jp)
B9_smooth,b9_smooth-rdxiej3apms,Not Without the Rest,Twin Musicom,RDxieJ3Apms,5,118,CC BY 4.0
B9_smooth,b9_smooth-2vahb2iqqgg,Picnic Breeze,Eric Matyas (Soundimage.org),2vAhB2IqqGg,5,100,Free with attribution
B9_smooth,b9_smooth-nbbj9weexq0,Port Horizon,Kevin MacLeod,nbbJ9weexQ0,5,324,CC BY 4.0
B9_smooth,b9_smooth-2uov7gzeslk,Royalty Free Background Music (Chillaxing with the Saxing) Downtempo/Chill/Jazz,TeknoAXE,2Uov7GZeslk,5,315,CC BY 4.0
B9_smooth,b9_smooth-iqxdqji_49c,Royalty Free Background Music -A (Floating on Glass Super Chill Mode) Downtempo/Chill,TeknoAXE,IqXDqji_49c,5,270,CC BY 4.0
B9_smooth,b9_smooth-w2jbfjg3vgc,Sheba out on the Town -- Downtempo/Jazz,TeknoAXE,W2jbFjg3vgc,5,247,CC BY 4.0
B9_smooth,b9_smooth-5vx9a0xtc6i,Space Jazz,Kevin MacLeod,5vX9A0XTc6I,5,370,CC BY 4.0
